school_year,lea_id,school_id,lea_name,school_name,school_level,charter,supervisor_area,pct_nonwhite,pct_direct_cert,state_local_exp,growth_ela_all,growth_math_all
2018,005121,4020,SOUTHWEST R-V,SOUTHWEST ELEM.,Elementary,0,Southwest,0.07823129251700679,0.180272108843537,1597688.12,0.984426886528377,1.75766496184549
2018,005122,4020,EXETER R-VI,EXETER ELEM.,EleMiddle,0,Southwest,0.10572687224669601,0.44493392070484605,1009278.27,-1.48385927626911,-0.854587085734527
2018,005123,3000,CASSVILLE R-IV,CASSVILLE MIDDLE,Middle,0,Southwest,0.128205128205128,0.28974358974359,2099095.2600000002,-0.79785331548209,-1.20971560534801
2018,005123,4030,CASSVILLE R-IV,CASSVILLE INTERMEDIATE,Elementary,0,Southwest,0.126760563380282,0.124413145539906,2464894.3200000003,0.297520021128938,-0.402045035341515
2018,005124,4020,PURDY R-II,PURDY ELEM.,Elementary,0,Southwest,0.362139917695473,0.181069958847737,2089329.2000000002,0.905537505376775,0.72615552020553
2018,005127,4020,SHELL KNOB 78,SHELL KNOB ELEM.,EleMiddle,0,Southwest,0.106870229007634,0.312977099236641,1976876.7999999998,0.933235508836263,1.71926227574919
2018,005128,3000,MONETT R-I,MONETT MIDDLE,Middle,0,Southwest,0.413223140495868,0.471074380165289,2355524.4299999997,-1.52765384148648,-2.27968817540272
2018,005128,4000,MONETT R-I,CENTRAL PARK ELEM.,Elementary,0,Southwest,0.44594594594594594,0.327027027027027,1992710.72,-0.801223970882856,-0.787647589067708
2018,005128,4040,MONETT R-I,MONETT INTERMEDIATE,Elementary,0,Southwest,0.480662983425414,0.218232044198895,2175300.75,2.4677610416871,1.35083494992312
2018,006101,3000,LIBERAL R-II,LIBERAL MIDDLE,Middle,0,Southwest,0.044444444444444405,0.222222222222222,460744.2,-1.13061531577973,-1.44859957031597
2018,006101,4020,LIBERAL R-II,LIBERAL ELEM.,Elementary,0,Southwest,0.0727272727272728,0.290909090909091,965922.28,-0.292086168908396,-0.626981782268774
2018,006103,1050,GOLDEN CITY R-III,GOLDEN CITY HIGH,Middle,0,Southwest,0.134020618556701,0.8969072164948451,728553.7,-0.962786804624887,0.3214197512943
2018,006103,4020,GOLDEN CITY R-III,GOLDEN CITY ELEM.,Elementary,0,Southwest,0.114583333333333,0.479166666666667,638505.45,0.304606552310873,1.06440607686663
2018,006104,3000,LAMAR R-I,LAMAR MIDDLE,Middle,0,Southwest,0.134328358208955,0.444029850746269,1837603.52,0.919744116663046,0.832434423074385
2018,006104,4020,LAMAR R-I,LAMAR ELEM.,Elementary,0,Southwest,0.121527777777778,0.225694444444444,1374650.54,-0.0719202648621427,1.40189414883542
2018,007121,1050,MIAMI R-I,MIAMI HIGH,Middle,0,West Central,0.147727272727273,0.25,682026.93,0.627131191118623,-0.546540699404828
2018,007121,4020,MIAMI R-I,MIAMI ELEM.,Elementary,0,West Central,0.119402985074627,0.38805970149253705,559792.98,-1.1010464363471,-0.485136136991229
2018,007122,1050,BALLARD R-II,BALLARD HIGH,Middle,0,West Central,0.0535714285714286,0.428571428571429,576024.6,0.282143636541104,0.954723716391591
2018,007122,4020,BALLARD R-II,BALLARD ELEM.,Elementary,0,West Central,0.08571428571428569,0.557142857142857,472453.971,0.760599549865971,-0.0364493755720136
2018,007123,1050,ADRIAN R-III,ADRIAN SR. HIGH,Middle,0,West Central,0.025210084033613498,0.21848739495798297,2742820.542,-0.11545902178361,-1.30607773496361
2018,007123,4020,ADRIAN R-III,ADRIAN ELEM.,Elementary,0,West Central,0.00980392156862742,0.16013071895424802,1888877.2,-2.12711917261733,-0.720211647977017
2018,007124,1050,RICH HILL R-IV,RICH HILL HIGH,Middle,0,West Central,0.0261437908496732,0.20915032679738602,1121498.1199999999,-1.24628445871799,0.093033632169457
2018,007124,4020,RICH HILL R-IV,RICH HILL ELEM.,Elementary,0,West Central,0.117647058823529,0.194117647058824,924721.2268,-0.574124155507945,-0.196251267140095
2018,007125,1050,HUME R-VIII,HUME HIGH,Middle,0,West Central,0.0151515151515151,0.318181818181818,544756.08,-0.13211901212729,-0.429321708517117
2018,007125,4020,HUME R-VIII,HUME ELEM.,Elementary,0,West Central,0.025974025974026,0.246753246753247,483851.9,-1.22586878494415,-1.54718511118168
2018,007126,4020,HUDSON R-IX,HUDSON ELEM.,EleMiddle,0,West Central,0,0.439024390243902,495740.4,0.294334878202682,0.666224672641965
2018,007129,1050,BUTLER R-V,BUTLER HIGH,Middle,0,West Central,0.06952965235173819,0.179959100204499,2861149.0338,-0.114479760778181,-0.0144530182642621
2018,007129,4020,BUTLER R-V,BUTLER ELEM.,Elementary,0,West Central,0.0928853754940712,0.130434782608696,2573969.2936,-0.0647602219830906,0.399074409625059
